custom_id,hit_id,row_id,source,Title,hit_text,context_idx,count_hits,count_unique_entities,context_window
media-frame-5eebb150cf772cb5,5eebb150cf772cb5,18602,Tagesschau,Russland meldet Vormarsch in Pokrowsk - Angriffe auf Sumy,Deutschlandfunk,1,1,1,"Auch die russische Luftfahrtbehörde meldete, dass die Arbeit des Flughafens in Saratow wegen Luftalarms mehr als sechs Stunden eingeschränkt war. Über dieses Thema berichtete Deutschlandfunk am 03. November 2025 um 17:12 Uhr."
media-frame-cd1d8bb7cd425411,cd1d8bb7cd425411,18603,Tagesschau,Das sieht der 20-Punkte-Plan vor,dpa | Reuters,1,2,2,"Sobald sich alle Parteien auf dieses Abkommen geeinigt haben, soll ein sofortiger und vollständiger Waffenstillstand in Kraft treten. (Quellen: dpa und Reuters) tagesschau24 | Nachrichten | 28.12.2025 | 17:00 Uhr, Das Erste | tagesschau | 28.12.2025 | 20:00 Uhr"
media-frame-c3a154ff68cd34b7,c3a154ff68cd34b7,18607,Tagesschau,Selenskyj stimmt sich mit Verbündeten ab,Politico,1,1,1,"Selenskyj kündigte gegenüber dem Portal Axios zudem an, in einem Referendum über den mit Trump ausgehandelten Friedensplan abstimmen zu lassen, falls Russland einem Waffenstillstand zustimmt. Der US-Präsident erklärte gegenüber Politico im Vorfeld des Treffens, der ukrainische Präsident habe ""nichts vorzulegen, bis ich es abgesegnet habe"". Der republikanische Präsident zeigte sich zuversichtlich, ein produktives Treffen zu führen."
media-frame-ab345411cdcc6830,ab345411cdcc6830,18611,Tagesschau,Tote bei Angriffen auf ukrainische Häfen,NDR Info,1,1,1,Im Gebiet Dnipropetrowsk seien aber noch etwa 800.000 Menschen am Morgen ohne Licht und Wärme gewesen. NDR Info | Nachrichten | 08.01.2026 | 06:00 Uhr
media-frame-109a973210629453,109a973210629453,18614,Tagesschau,USA könnten Friedenstruppe in der Ukraine leiten,NDR Info,1,1,1,"Vor dem Treffen hatte Selenskyi einmal mehr gefordert, dass die Flugabwehr der Ukraine gestärkt werden müsse, da Russland seine Angriffe nicht stoppe. Das Erste | tagesschau | 06.01.2026 | 15:00 Uhr, Das Erste | tagesschau | 06.01.2026 | 16:00 Uhr, NDR Info | Nachrichten | 06.01.2026 | 16:22 Uhr"
media-frame-875ccbd3ca570723,875ccbd3ca570723,18617,Tagesschau,"Britische Solidarität, französisches Unbehagen",NDR Info,1,1,1,"Das alles zeigt: Auch wenn es vorläufig nur um Friedenssicherung geht, die Entsendung von Bodentruppen in die Ukraine sorgt auch in der Militärmacht Frankreich für Unbehagen. NDR Info | Nachrichten | 08.01.2026 | 08:00 Uhr, ARD-Infonacht | Nachrichten | 08.01.2026 | 05:00 Uhr"
media-frame-830aebdb336bfde4,830aebdb336bfde4,18618,Tagesschau,Was Ukrainer vom Truppen-Versprechen halten,NDR Info,1,1,1,"Die westlichen Partner der Ukraine hätten seiner Ansicht nach aber genug Mittel, ""um Russland die Nase zu richten"", sagte der ukrainische Präsident - sprich: den Krieg für Russland noch teurer und schmerzhafter zu machen. NDR Info | Nachrichten | 07.01.2026 | 17:47 Uhr"
media-frame-0a69e8fed1adefbd,0a69e8fed1adefbd,18619,Tagesschau,Selenskyj zu Gespräch über US-Plan bereit,RTL,1,1,1,"Er warnte davor, dass Kremlchef Wladimir Putin ""damit Kriegsziele erreichen könnte, die er auf dem Schlachtfeld nicht erreicht hat"". Das wäre sicherlich ein Ergebnis, das nicht akzeptabel wäre, sagte Frei in der Sendung Frühstart von RTL/ntv. Die britische Regierung teilte mit, dass nur die Ukraine selbst ihre Zukunft entscheiden könne."
media-frame-609e9ef0d7936564,609e9ef0d7936564,18620,Tagesschau,Ukraine kündigt Verhandlungen mit den USA an,dpa,1,1,1,Am Sonntag soll in der Schweiz darüber verhandelt werden. Nach dpa-Informationen sollen auch europäische Vertreter an dem Treffen teilnehmen. Hochrangige Vertreter der USA und der Ukraine sollen in der Schweiz zu Verhandlungen über den sogenannten Friedensplan von US-Präsident Donald Trump zusammenkommen.
media-frame-c59c540f56aa1984,c59c540f56aa1984,18620,Tagesschau,Ukraine kündigt Verhandlungen mit den USA an,dpa,2,1,1,"Kommt US-Außenminister Rubio? Wie der Nachrichtenagentur dpa aus deutschen Regierungskreisen bestätigt wurde, wollen am Sonntag auch Vertreter führender europäischer Staaten mit den USA und der Ukraine über den US-Plan sprechen. Das Treffen werde in Genf stattfinden, hieß es."
media-frame-65e3bd5564fc124c,65e3bd5564fc124c,18621,Tagesschau,Wer über die Zukunft der Ukraine verhandelt,Politico,1,1,1,"Zehn Jahre lang war Uschakow Botschafter in den USA. Damals habe er den Westen nicht gehasst, erinnert sich in Politico Tony Gati, die während der US-Präsidentschaft Bill Clintons Mitglied des Nationalen Sicherheitsrats war. Zurück in Moskau sei Uschakows Blick auf die USA immer düsterer geworden, und er habe den USA Hass auf Russland unterstellt."
media-frame-b3682a9e8f6a54ba,b3682a9e8f6a54ba,18625,Tagesschau,"Selenskyj nennt Kompromisse - Kreml erwartet ""kaum Gutes""",MDR,1,2,1,"Worüber genau in Berlin verhandelt wird, wurde nicht öffentlich gemacht. Das Erste | tagesschau | 14.12.2025 | 08:55 Uhr, tagesschau24 | Nachrichten | 14.12.2025 | 14:00 Uhr, Das Erste | tagesthemen | 13.12.2025 | 23:30 Uhr, tagesschau.de | Putinberater: Berliner Ukraineverhandlungen werden nichts Gutes bringen | 14.12.2025 | 15:13 Uhr, MDR | MDR aktuell - Das Nachrichtenradio | 14.12.2025 | 11:00 Uhr"
media-frame-3181c2230d49d819,3181c2230d49d819,18627,Tagesschau,Lob für Engagement Europas,Deutschlandfunk,1,1,1,"Europäer zurück in aktiver Rolle Nach Ansicht des CDU-Außenpolitikers Armin Laschet ist man einem möglichen Frieden so nah wie nie. ""Ob es gelingt, wird sich jetzt zeigen"", sagte Laschet im Deutschlandfunk. Er erklärte zudem, dass die Europäer mit den in Berlin entwickelten Ideen nun zurück in eine aktive Rolle müssten."
media-frame-25f1f9e2c34d06cc,25f1f9e2c34d06cc,18629,Tagesschau,Selenskyj zu Wahlen bereit - unter Bedingungen,Politico,1,1,1,"Trump schließt sich Russlands Kritik an Die Aussetzung der Wahlen während des russischen Angriffskriegs war in der Vergangenheit von Russland und zuletzt auch von US-Präsident Donald Trump kritisiert worden. Trump hatte die Ukraine in einem Interview mit der US-Plattform Politico zu Neuwahlen gedrängt. Das Land komme ""an einen Punkt, an dem es keine Demokratie mehr"" sei, sagte Trump – womit der US-Präsident den Duktus des Kremls übernahm."
media-frame-fad481331d69e673,fad481331d69e673,18630,Tagesschau,Wahlen in der Ukraine - wie realistisch ist das?,NDR Info,1,1,1,"Maria Sacharowa, die Sprecherin des russischen Außenministeriums, erklärte indes, Wahlen unter dem Schutz der USA seien ein Marionettentheater und nicht demokratisch. Das Erste | tagesschau | 10.12.2025 | 12:00 Uhr; NDR Info | Nachrichten | 10.12.2025 | 13:37 Uhr"
media-frame-84d7303c249c83e0,84d7303c249c83e0,18632,Tagesschau,Witkoff spricht mit Kiew und EU-Vertretern,NDR,1,1,1,Januar erwarte er die Teilnahme von Vertretern von mehr als zehn Ländern sowie der NATO und der EU-Kommission. NDR 2 | Nachrichten | 31.12.2025 | 21:00 Uhr
media-frame-caf5a570564125ce,caf5a570564125ce,18633,Tagesschau,Monatelang im Erdloch an der Front,Deutschlandfunk,1,1,1,"Er soll als einer, der die Front überlebt hat, anderen die Angst vor der Armee nehmen. Über dieses Thema berichtete Deutschlandfunk am 17. November 2025 um 05:25 Uhr."
media-frame-6e9a6bcb820f4eb0,6e9a6bcb820f4eb0,18634,Tagesschau,UN werfen Israel Unterdrückung vor,NDR Info,1,1,1,Israel hält das Westjordanland seit dem Sechstagekrieg von 1967 besetzt. NDR Info | Nachrichten | 07.01.26 | 18:15 Uhr
media-frame-d3f31b6da984af3a,d3f31b6da984af3a,18635,Tagesschau,"Der YouTuber, den Orban (noch) nicht kontrolliert",Propagandamedien,1,1,1,"Unglücklicherweise hätten internationale Investoren, insbesondere deutsche Unternehmen, ihre ungarischen Anteile an ungarischen Medien an regierungsnahe Firmen verkauft. So habe die Regierungspartei ein riesiges Medienimperium aufbauen können, welches heute praktisch nur noch aus Propagandamedien bestehe, so Urban. Ehemals seriöse Nachrichtenportale, wie beispielsweise Origo, hätten ihr Profil stark verändert, seien nun ein Sprachrohr des Kremls."
media-frame-376bcdd15039f253,376bcdd15039f253,18639,Tagesschau,"""Die USA stehen nicht mehr an der Seite der Europäer""",Reuters,1,1,1,"Der CDU-Verteidigungsexperte Roderich Kiesewetter sagte der Funke-Gruppe, zu der unter anderem das Hamburger Abendblatt gehört, die USA seien unter Präsident Donald Trump kein Wertepartner mehr, sondern verfolgten rücksichtslos eigene Wirtschaftsinteressen. Lettlands Ex-Ministerpräsident Krisjanis Karins sagte der Nachrichtenagentur Reuters, am glücklichsten mit dem Papier sei sicher Russland. Moskau versuche seit Jahren, das transatlantische Bündnis zu zerbrechen."
media-frame-49d78645990245ad,49d78645990245ad,18639,Tagesschau,"""Die USA stehen nicht mehr an der Seite der Europäer""",MDR,2,1,1,"In Deutschland gebe es nicht nur die staatlichen Gewalten der Exekutive, der Legislative und der Jurisdiktion, sondern zu Recht auch freie Medien. Mit Informationen von Nicole Markwald, ARD-Hauptstadtstudio Bayern 2 | Nachrichten | 07.12.2025 | 19:00 Uhr, MDR aktuell | Nachrichten | 06.12.2025 | 15:13 Uhr, Das Erste | tagesthemen | 05.12.2025 | 21:45 Uhr, Das Erste | tagesschau | 08.12.2025 | 03:24 Uhr, tagesschau24 | Update | 08.12.2025 | 03:45 Uhr"
media-frame-6e4d588609d466dc,6e4d588609d466dc,18641,Tagesschau,USA und Ukraine besprechen Trumps Kriegsende-Plan,NDR Info,1,1,1,"Allerdings ist unklar, ob Russland einer solchen Fassung zustimmen wird. NDR Info | Nachrichten | 30.11.2025 | 08:00 Uhr"
media-frame-c44fe73fb1d827f3,c44fe73fb1d827f3,18642,Tagesschau,Regionalpräsident tritt zurück - ein Jahr nach der Flut,Deutschlandfunk,1,1,1,"Er beklagte zudem eine ""brutale, landesweite Kampagne"" gegen seine Person. Über dieses Thema berichtete Deutschlandfunk am 03. November 2025 um 12:10 Uhr."
media-frame-f70a1313381f4bd5,f70a1313381f4bd5,18645,Tagesschau,Weber verkündet Ende für Verbrenner-Aus - und jetzt?,Bild-Zeitung,1,1,1,"Von Sabrina Fritz, ARD Brüssel In Heidelberg tagen gerade die EU-Abgeordneten der Europäischen Volkspartei (EVP). Diese konservative Gruppe stellt die meisten Abgeordneten im EU-Parlament, ihr Chef ist Manfred Weber - der Mann, der gerade via Bild-Zeitung das Aus des Verbrenner-Aus verkündet hat. Es ist nicht das erste Mal, dass er dieses Versprechen abgibt, im Gespräch mit dem ARD-Studio in Brüssel sagte er, die europäische Autoindustrie brauche jetzt Planungssicherheit, mit dem Vorschlag der EU-Kommission könne auch politischer Frieden erzeugt werden."
