custom_id,hit_id,row_id,source,Title,hit_text,context_idx,count_hits,count_unique_entities,context_window
media-frame-90d50454fafc4e5b,90d50454fafc4e5b,4506,Nius,Neues in Weimer-Staatsaffäre: Selbst in seinem Manifest hat der Kulturstaatsminister systematisch plagiiert,FAZ,2,1,1,"Der Befund lautet, dass Weimers Buch an zentralen Stellen aus fremden Texten montiert sei, ohne die – teils strafrechtlich relevanten – Pflichten wissenschaftlicher und publizistischer Redlichkeit einzuhalten. Gegenüber NIUS sucht der Forscher nach Erklärungen: „Was mir ein Rätsel ist: Dieser Mann war FAZ-Redakteur und hatte Führungspositionen bei Welt und Focus inne. Warum fängt so einer zu plagiieren an?"
media-frame-7127452b9ee5269b,7127452b9ee5269b,4506,Nius,Neues in Weimer-Staatsaffäre: Selbst in seinem Manifest hat der Kulturstaatsminister systematisch plagiiert,The European,3,2,1,"Weber kündigt an, neben dem „Konservativen Manifest“ auch weitere Bücher Weimers zu überprüfen. ## Ein weiteres Puzzleteil in einem skandalösen Bild Die neuen Plagiatsfälle erhöhen den politischen Druck auf Weimer weiter. Denn der Kulturstaatsminister stand in den vergangenen Monaten bereits heftig wegen Urheberrechtsverletzungen auf dem Medium The European in der Kritik, über die zuerst der Journalist Alexander Wallasch berichtet hatte. Anschließend war das Online-Portal wegen seiner Copy-and-Paste-Methodik in linken wie rechten Medien breitflächig kritisiert worden. Auch hier spielte Plagiatsgutachter Weber eine Rolle: Auf NIUS hatte Weber exklusiv enthüllt, wie Weimers Publikation die Zahl angeblicher Autoren gegenüber potenziellen Werbekunden aufgebläht hatte, was schließlich zu einer von Weimer unterzeichneten Unterlassungserklärung gegenüber Weber führte. Weimers The European hatte Weber gar selbst als Autor geführt, was überdies die Schutzbehauptung der Weimer Media Group widerlegt, wonach es vor allem um Übernahmen von Politikerreden gehe, die urheberrechtlich nicht geschützt sind. Das Gesamtbild könnte so bizarrer kaum sein: Ausgerechnet gegen den amtierenden Kulturstaatsminister, der qua Amt auch für den Schutz geistigen Eigentums und kultureller Leistungen zuständig ist, stehen Vorwürfe im Raum, diese Prinzipien selbst missachtet zu haben."
media-frame-10b5694b22cfb4fc,10b5694b22cfb4fc,4508,Nius,Kollegahs „Deutschland“-Song spricht Millionen aus der Seele,Spiegel,1,1,1,"Kollegahs „Deutschland“-Song spricht Millionen aus der Seele. # Kollegahs „Deutschland“-Song spricht Millionen aus der Seele Rap-Superstar Kollegah hält der Bundesrepublik den Spiegel vor: In seinem neuesten Song „Deutschland“ rappt Felix Blume über Teuerung, verarmte Rentner, überbordende Kriminalität. Es ist eine Liebeserklärung an ein Land in der Krise."
media-frame-30fc0d8b5e8f7f94,30fc0d8b5e8f7f94,4515,Nius,21-Jähriger soll islamistischen Anschlag in Magdeburg geplant haben – Innenministerium bereitet Abschiebung vor,dpa,1,1,1,"Der 21-Jährige befindet sich der Sprecherin zufolge weiterhin in Gewahrsam. Der junge Mann, der in der Ausbildung war, soll sich nach dpa-Informationen in einer Art und Weise geäußert haben, die auf die Absicht, einen Anschlag zu begehen, hindeuten. ## Innenministerium bereitet Abschiebung vor Das Innenministerium in Magdeburg teilte auf Anfrage mit, es bereite aktuell eine Abschiebung aufgrund einer „auf Tatsachen gestützten Prognose zur Abwehr einer besonderen Gefahr für die Sicherheit der Bundesrepublik Deutschland oder einer terroristischen Gefahr“ vor. Der 21-Jährige werde zur Vorbereitung der Abschiebungsanordnung in sogenannte Vorbereitungshaft genommen."
media-frame-5f864d4c99fcbc81,5f864d4c99fcbc81,4517,Nius,„Falschmeldungen über Weihnachtsmärkte schüren Ängste vor Muslimen“: Tagesschau-Faktenfinder bezeichnen echte Videos als „Fakes“,Tagesschau,1,3,1,"„Falschmeldungen über Weihnachtsmärkte schüren Ängste vor Muslimen“: Tagesschau-Faktenfinder bezeichnen echte Videos als „Fakes“. # „Falschmeldungen über Weihnachtsmärkte schüren Ängste vor Muslimen“: Tagesschau-Faktenfinder bezeichnen echte Videos als „Fakes“ Die Faktenfinder der Tagesschau behaupten: Im Netz kursieren „Fakes“ über Weihnachtsmärkte, die dazu dienen sollen, „Stimmung gegen Muslime“ zu verbreiten. Fakt ist aber: Die Clips, die bemängelt werden, sind authentisch und nicht manipuliert."
media-frame-58a406ae36b7ee7f,58a406ae36b7ee7f,4517,Nius,„Falschmeldungen über Weihnachtsmärkte schüren Ängste vor Muslimen“: Tagesschau-Faktenfinder bezeichnen echte Videos als „Fakes“,Tagesschau,2,2,1,"Weder in Mainz noch in Berlin haben die Demonstrationen auf dem Weihnachtsmarkt stattgefunden, sondern daneben. Zudem handelte es sich laut Polizei in beiden Fällen um angemeldete Kundgebungen, die friedlich verlaufen sind.“ Fakt ist aber: Nur weil die Tagesschau-Redakteure nicht erkennen, dass der Schaulauf von Massen an muslimischen Männern, die in unmittelbarer Nähe zu christlichen Weihnachtsmärkten – die traditionell Orte der Besinnlichkeit sind – islamistische Flaggen schwenken und dazu laut und aggressiv islamische Parolen skandieren, eine glasklare Provokation ist, sind die Videos trotzdem authentisch. Die Behauptung der zwangsgebührenfinanzierten Redaktion ist demnach eine glatte Falschmeldung: Die Videos sind nicht manipuliert und demnach auch keine „Fakes“. ## Alles „irreführend“, denn: „Das Video ist ein Jahr alt“ Außerdem wird im Artikel bemängelt, ein Video aus Essen, das einen Demonstrationszug zeige, bei dem angeblich Muslime auf einem Weihnachtsmarkt „Es gibt keinen Gott, außer Allah“ rufen würden, kursiere seit längerem im Netz. Die Tagesschau-Redakteure ordnen nun für ihre Leser ein: „Diese Behauptung ist ebenfalls irreführend. Das Video ist ein Jahr alt, es entstand im Dezember 2024."
media-frame-0d03e28ca3eef281,0d03e28ca3eef281,4519,Nius,Die sagenhafte Karriere von „Bullshit-Bas“ – Hauptschule und Hunderte Milliarden!,Frankfurter Allgemeine Zeitung,1,1,1,"Bärbel Bas will den Umbau des Staates hin zur totalen Umverteilung. Vor wenigen Tagen erschien in der Frankfurter Allgemeinen Zeitung eine dramatische Allensbach-Studie, nach der die Deutschen erdrutschartig das Vertrauen in diesen Staat verlieren. Nicht einmal jeder Fünfte, nur noch 17 Prozent der Deutschen, haben noch Vertrauen in die Partei, in den Bundestag gerade mal noch ein Drittel (36 Prozent)."
media-frame-2d0383b166d7e114,2d0383b166d7e114,4526,Nius,"„Der Liberalismus, bis in die Überschläge des Woken, ist positiv gewesen“: Weimer bekennt sich zum Kulturkampf gegen Rechts",ARD,1,2,1,"Im Kampf gegen den Rechtspopulismus lässt er sich sogar dazu herab, Wokeness unterm Strich als positive Sache zu beschreiben. Exakt so äußerte er sich in einem Film, der am Montag in der ARD ausgestrahlt wurde. Im Oktober sprach Wolfram Weimer mit der Journalistin Jessy Wellmer für eine ARD-Reportage, die am Montag ausgestrahlt wurde. Darin legte Weimer ein Bekenntnis zum Kulturkampf gegen Rechts ab – was auch Thema bei NIUS Live war."
media-frame-06fc963ec2afd72c,06fc963ec2afd72c,4527,Nius,Verheerende Diagnose von BDI-Chef Leibinger: „Schwerste Wirtschaftskrise seit Gründung der Bundesrepublik“,Süddeutsche Zeitung,1,1,1,"Verheerende Diagnose von BDI-Chef Leibinger: „Schwerste Wirtschaftskrise seit Gründung der Bundesrepublik“. # Verheerende Diagnose von BDI-Chef Leibinger: „Schwerste Wirtschaftskrise seit Gründung der Bundesrepublik“ Peter Leibinger, Präsident des Bundesverbands der Deutschen Industrie (BDI) und Aufsichtsratsvorsitzender des Maschinenbaukonzerns Trumpf, hat im Interview mit der Süddeutschen Zeitung mehr als deutliche Worte zur wirtschaftlichen Lage Deutschlands gefunden. Der BDI-Chef beschreibt sowohl die aktuelle Stimmung in den Unternehmen als auch tief sitzende strukturelle Probleme des Standorts als verheerend."
media-frame-472335e1de39c5a3,472335e1de39c5a3,4528,Nius,Neue Zahlen: Pleitewelle erschüttert Thüringen,Berliner Zeitung,1,1,1,"In den ersten neun Monaten des Jahres beantragten rund 18.000 Unternehmen Insolvenz, gab das Statistische Bundesamt bekannt. Eine Region trifft die Pleitewelle ganz besonders, meldet die Berliner Zeitung: Ostdeutschland. Wie aus neuen Zahlen der Wirtschaftsauskunftei Creditreform hervorgeht, war in keinem Bundesland der Anstieg der Firmenpleiten so hoch wie in Thüringen."
